                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.27045,                 1.3334,                 1.0214,                0.76838,                      1,                 0.8222,                0.82126,                0.39352,                 2.2847,                 0.5941,             0.00055146,             0.00055146,             0.00055146
                      2,                0.21914,                0.78066,                0.96639,                0.41109,                0.85714,                0.47518,                0.38537,                0.36439,                 1.9911,                 0.6094,              0.0010962,              0.0010962,              0.0010962
                      3,                0.22152,                0.64554,                0.96843,                 0.7694,                0.98701,                0.78833,                0.70644,                0.42387,                0.79528,                0.58503,              0.0016299,              0.0016299,              0.0016299
                      4,                0.20457,                0.57689,                0.95628,                0.76965,                      1,                0.83108,                0.82867,                0.22932,                0.76304,                0.35957,              0.0016175,              0.0016175,              0.0016175
                      5,                0.17111,                0.54021,                0.94066,                0.74378,                0.97403,                0.79079,                0.76871,                0.33115,                0.69772,                0.48355,               0.001601,               0.001601,               0.001601
                      6,                0.17417,                0.52279,                0.94606,                0.73896,                0.98052,                0.80889,                 0.7337,                0.33749,                0.68978,                0.47825,              0.0015845,              0.0015845,              0.0015845
                      7,                0.15465,                0.48959,                0.93351,                0.74139,                0.96753,                0.80468,                 0.7928,                0.27288,                0.75191,                0.36066,               0.001568,               0.001568,               0.001568
                      8,                0.14804,                0.48494,                0.93306,                0.76965,                      1,                0.82317,                0.82127,                0.26786,                0.59987,                0.39142,              0.0015515,              0.0015515,              0.0015515
                      9,                0.14013,                0.46551,                0.92566,                0.77152,                      1,                0.80934,                0.80464,                0.24598,                 0.5348,                0.38262,               0.001535,               0.001535,               0.001535
                     10,                0.13668,                0.45236,                0.92426,                0.76325,                0.99351,                0.81484,                0.80671,                0.27125,                0.59701,                0.36261,              0.0015185,              0.0015185,              0.0015185
                     11,                0.13218,                0.45047,                0.92571,                0.76977,                      1,                0.78844,                0.78764,                0.27882,                  0.565,                0.38357,               0.001502,               0.001502,               0.001502
                     12,                0.12172,                0.43087,                0.92208,                0.76929,                      1,                0.82155,                0.81939,                0.22639,                0.63543,                0.34091,              0.0014855,              0.0014855,              0.0014855
                     13,                0.11872,                0.43727,                0.92039,                0.76932,                      1,                0.80461,                  0.804,                0.29603,                0.64213,                0.41602,               0.001469,               0.001469,               0.001469
                     14,                0.11577,                0.42914,                0.91875,                0.76886,                      1,                0.79828,                0.79733,                0.17689,                0.55523,                0.27312,              0.0014525,              0.0014525,              0.0014525
                     15,                0.10909,                0.42953,                0.91745,                0.76969,                      1,                0.77627,                0.77217,                0.23695,                0.51359,                0.35978,               0.001436,               0.001436,               0.001436
                     16,                0.11286,                0.42744,                0.91849,                0.74942,                  0.971,                0.76018,                0.69691,                0.64397,                0.79101,                0.52327,              0.0014195,              0.0014195,              0.0014195
                     17,                 0.1142,                0.42771,                0.92345,                0.76994,                      1,                0.83042,                0.82702,                0.30916,                0.60919,                0.47313,              0.0014029,              0.0014029,              0.0014029
                     18,                0.11594,                0.43443,                0.91974,                0.76976,                      1,                0.78274,                0.78218,                0.25867,                0.58041,                0.38344,              0.0013864,              0.0013864,              0.0013864
                     19,                0.10747,                0.42539,                0.91341,                0.75585,                0.96104,                 0.7585,                0.73647,                0.19572,                0.83379,                0.28399,              0.0013699,              0.0013699,              0.0013699
                     20,                0.10502,                0.42584,                0.91381,                0.76107,                0.99351,                 0.7769,                0.77453,                 0.2606,                0.55331,                0.36896,              0.0013534,              0.0013534,              0.0013534
                     21,                0.10165,                0.42051,                0.91627,                0.76129,                      1,                0.79703,                0.79174,                0.19247,                0.53875,                0.28282,              0.0013369,              0.0013369,              0.0013369
                     22,                0.09847,                0.42226,                0.91182,                0.76976,                      1,                0.76862,                0.76781,                0.25483,                0.58556,                0.37226,              0.0013204,              0.0013204,              0.0013204
                     23,                0.10233,                 0.4039,                0.91496,                0.74585,                0.98052,                0.77515,                0.75933,                0.28289,                0.63465,                0.40777,              0.0013039,              0.0013039,              0.0013039
                     24,                0.09824,                0.40068,                0.91179,                0.76969,                      1,                0.79123,                0.79061,                0.26269,                0.53268,                0.38049,              0.0012874,              0.0012874,              0.0012874
                     25,                0.09793,                0.40769,                 0.9119,                0.74837,                0.99351,                 0.7639,                0.73834,                0.23011,                0.53254,                0.31922,              0.0012709,              0.0012709,              0.0012709
                     26,                0.09374,                0.41087,                0.90622,                0.76599,                      1,                0.78436,                0.78385,                0.19069,                0.48501,                0.27519,              0.0012544,              0.0012544,              0.0012544
                     27,                0.09208,                0.40872,                0.91024,                0.76978,                      1,                0.84323,                0.84306,                0.14929,                0.49551,                0.22122,              0.0012379,              0.0012379,              0.0012379
                     28,                0.08968,                0.39504,                0.91538,                0.76976,                      1,                0.84841,                0.84664,                0.17095,                0.48171,                0.24035,              0.0012214,              0.0012214,              0.0012214
                     29,                0.08672,                0.40966,                 0.9049,                0.76908,                      1,                0.79018,                0.78947,                0.26597,                0.58131,                0.34736,              0.0012049,              0.0012049,              0.0012049
                     30,                0.08803,                0.40429,                0.90722,                 0.7692,                0.99552,                0.78866,                0.70835,                 0.2349,                0.58672,                0.34052,              0.0011884,              0.0011884,              0.0011884
                     31,                0.08419,                0.39915,                0.90847,                0.76976,                      1,                0.78224,                0.77997,                0.26033,                0.53253,                0.37138,              0.0011719,              0.0011719,              0.0011719
                     32,                0.08225,                0.38879,                0.90556,                0.76312,                      1,                0.79045,                0.76327,                0.22384,                0.53981,                  0.264,              0.0011554,              0.0011554,              0.0011554
                     33,                0.08447,                0.38936,                0.90766,                0.76227,                0.99941,                  0.802,                0.79684,                0.23382,                0.51138,                 0.2969,              0.0011389,              0.0011389,              0.0011389
                     34,                0.08839,                0.41453,                0.90945,                0.76609,                      1,                0.81488,                0.81346,                0.24437,                0.59804,                0.37037,              0.0011224,              0.0011224,              0.0011224
                     35,                0.08528,                0.39928,                0.90946,                 0.7661,                0.99963,                0.81257,                0.81153,                0.15065,                0.54709,                0.21727,              0.0011059,              0.0011059,              0.0011059
                     36,                0.08298,                0.39769,                0.90077,                 0.7607,                0.99351,                0.79515,                0.79348,                0.28042,                0.52586,                0.39076,              0.0010894,              0.0010894,              0.0010894
                     37,                0.08047,                 0.3883,                0.90465,                0.76554,                      1,                0.78322,                0.76934,                0.27418,                  0.585,                 0.3986,              0.0010729,              0.0010729,              0.0010729
                     38,                0.08059,                0.38899,                 0.9098,                0.75462,                0.98701,                0.79099,                0.76763,                0.24671,                0.51277,                0.33647,              0.0010564,              0.0010564,              0.0010564
                     39,                0.06975,                0.38702,                0.89519,                0.76103,                0.99351,                0.84674,                0.84059,                0.23632,                0.49001,                0.30883,              0.0010399,              0.0010399,              0.0010399
                     40,                0.07097,                 0.3885,                0.89746,                0.76907,                      1,                 0.8224,                0.81935,                 0.2088,                0.55932,                0.31576,              0.0010234,              0.0010234,              0.0010234
                     41,                0.07308,                0.38376,                0.90189,                0.76958,                      1,                0.83333,                0.76549,                0.31141,                0.54884,                0.43451,              0.0010069,              0.0010069,              0.0010069
                     42,                0.07037,                0.38278,                0.90755,                0.76948,                      1,                0.83507,                0.83412,                0.20025,                0.51549,                0.30035,             0.00099036,             0.00099036,             0.00099036
                     43,                0.07102,                0.37423,                0.89968,                0.76929,                      1,                0.84339,                0.84091,                0.18179,                0.49466,                 0.2466,             0.00097386,             0.00097386,             0.00097386
                     44,                0.06831,                0.37749,                0.89891,                0.76229,                0.99951,                0.79956,                0.79672,                0.19574,                0.53173,                 0.2636,             0.00095736,             0.00095736,             0.00095736
                     45,                0.07007,                0.39147,                0.90164,                0.76984,                      1,                 0.8252,                0.82434,                0.25778,                0.46773,                0.35247,             0.00094085,             0.00094085,             0.00094085
                     46,                0.06714,                0.38797,                0.89254,                0.76879,                      1,                0.80177,                0.79905,                 0.2233,                0.56353,                0.33816,             0.00092435,             0.00092435,             0.00092435
                     47,                0.06954,                  0.383,                 0.9035,                 0.7698,                      1,                0.86229,                0.84171,                0.26786,                0.51732,                0.37398,             0.00090785,             0.00090785,             0.00090785
                     48,                0.06892,                 0.3882,                 0.8995,                0.76976,                      1,                 0.8233,                0.82155,                0.25309,                0.55028,                0.37559,             0.00089134,             0.00089134,             0.00089134
                     49,                0.06407,                0.37872,                0.89421,                0.76991,                      1,                0.84246,                0.83055,                0.24884,                0.54165,                0.35546,             0.00087484,             0.00087484,             0.00087484
                     50,                 0.0633,                0.39712,                0.89642,                0.76973,                      1,                0.85167,                0.84946,                0.24717,                0.53707,                0.34469,             0.00085834,             0.00085834,             0.00085834
                     51,                0.06293,                0.37982,                0.90449,                0.76971,                      1,                0.85701,                0.80167,                0.27172,                0.54509,                0.39315,             0.00084184,             0.00084184,             0.00084184
                     52,                0.05928,                0.37464,                0.90087,                0.76972,                      1,                0.84861,                0.84568,                0.22013,                0.51992,                0.33479,             0.00082533,             0.00082533,             0.00082533
                     53,                0.06308,                0.38641,                0.90051,                0.76556,                      1,                0.84633,                0.78677,                0.26553,                0.52835,                0.38366,             0.00080883,             0.00080883,             0.00080883
                     54,                0.06206,                0.37736,                0.89939,                0.76997,                0.99982,                0.85369,                0.84794,                0.28222,                0.53777,                0.40801,             0.00079233,             0.00079233,             0.00079233
                     55,                0.05663,                0.37376,                0.90723,                0.76834,                      1,                0.86044,                0.86018,                0.18183,                0.51736,                0.25459,             0.00077582,             0.00077582,             0.00077582
                     56,                0.05752,                0.37283,                0.89904,                 0.7696,                      1,                0.85449,                0.85208,                0.20033,                0.53731,                0.28014,             0.00075932,             0.00075932,             0.00075932
                     57,                0.05915,                0.38154,                 0.8959,                0.76104,                0.99351,                0.85226,                0.85019,                0.17972,                0.54638,                0.24804,             0.00074282,             0.00074282,             0.00074282
                     58,                0.06257,                0.37893,                0.90197,                0.76976,                      1,                0.86659,                0.86509,                0.24938,                0.54468,                 0.3514,             0.00072631,             0.00072631,             0.00072631
                     59,                0.05981,                0.37216,                0.90348,                0.76227,                      1,                0.85926,                0.85321,                0.22999,                0.53399,                0.32889,             0.00070981,             0.00070981,             0.00070981
                     60,                0.05727,                0.35963,                0.89913,                0.76973,                      1,                0.86161,                0.85845,                0.25574,                0.50368,                0.35661,             0.00069331,             0.00069331,             0.00069331
                     61,                0.05837,                0.37435,                0.89506,                0.76972,                      1,                0.82771,                0.79103,                0.24033,                0.48595,                0.33995,              0.0006768,              0.0006768,              0.0006768
                     62,                0.05591,                 0.3719,                 0.8942,                 0.7697,                      1,                0.84864,                0.81798,                0.21625,                0.60077,                0.30899,              0.0006603,              0.0006603,              0.0006603
                     63,                0.05595,                0.37203,                0.89907,                0.76952,                      1,                0.88472,                 0.8711,                0.23102,                 0.4827,                0.34041,              0.0006438,              0.0006438,              0.0006438
